op,case_index,cpu_mean_ms,npu_mean_ms,cpu_gflops,npu_gflops,speedup_cpu_div_npu,precision_ok,max_abs_err,mean_abs_err,cosine_similarity,case_shape,case_batch,case_m,case_k,case_n,case_axis,case_in_c,case_h,case_w,case_out_c,case_channels,case_vocab_size,case_embedding_dim,case_seq_len,case_true_ratio,case_heads,case_head_dim,case_features,case_hidden
matmul,0,0.11166073381900787,0.066228280775249,300.50341648648623,506.6480906226399,1.6859977718270773,True,4.9591064453125e-05,3.5903028674511006e-06,1.0000000108990321,"[256, 256]",,,,,,,,,,,,,,,,,,
matmul,1,0.7212938740849495,0.05190407391637564,372.1582362536263,5171.760822329385,13.89667168028178,True,7.2479248046875e-05,5.8418472690391354e-06,1.000000058706191,"[512, 512]",,,,,,,,,,,,,,,,,,
matmul,2,2.9337326297536492,0.09465122129768133,731.9970559758638,22688.38815345119,30.995190442677536,True,0.0001373291015625,1.0532618944125716e-05,0.9999999136539954,"[1024, 1024]",,,,,,,,,,,,,,,,,,
bmm,0,0.23175841197371483,0.12594829313457012,144.78193785607064,266.4143448466474,1.840107604523797,True,2.6702880859375e-05,1.7816879562815302e-06,0.9999999543724681,,8,128,128,128,,,,,,,,,,,,,,
bmm,1,0.8971425937488675,0.06353063508868217,149.60579169376823,2112.6457780981723,14.121417053308999,True,5.340576171875e-05,3.5843343084707158e-06,1.000000029804978,,16,128,256,128,,,,,,,,,,,,,,
add,0,0.29025424737483263,0.040464079938828945,3.612612078836783,25.91374872689979,7.173133500468089,True,0.0,0.0,1.0000000171214418,"[1024, 1024]",,,,,,,,,,,,,,,,,,
add,1,1.0491230059415102,0.054859183728694916,3.997914425902731,76.45582225107201,19.123926654285064,True,0.0,0.0,1.0000000503805913,"[2048, 2048]",,,,,,,,,,,,,,,,,,
sub,0,0.23405994288623333,0.045018852688372135,4.4799464063343315,23.291930766392795,5.199153885738372,True,0.0,0.0,0.9999999471529731,"[1024, 1024]",,,,,,,,,,,,,,,,,,
sub,1,1.0022271890193224,0.048290868289768696,4.184983251256753,86.85501314310888,20.753969114936424,True,0.0,0.0,1.000000065820502,"[2048, 2048]",,,,,,,,,,,,,,,,,,
mul,0,0.2802192931994796,0.041563273407518864,3.7419836015843164,25.22842678243699,6.741992875584901,True,0.0,0.0,0.9999999589955441,"[1024, 1024]",,,,,,,,,,,,,,,,,,
mul,1,1.5373926376923919,0.04841031040996313,2.7281931090131932,86.64071691506417,31.757545545008263,True,0.0,0.0,1.000000095274198,"[2048, 2048]",,,,,,,,,,,,,,,,,,
div,0,0.23572512436658144,0.04731228109449148,4.4482996999901285,22.162871367495416,4.982324227736858,True,0.0001220703125,2.1498165025946037e-08,0.9999999484490788,"[1024, 1024]",,,,,,,,,,,,,,,,,,
div,1,1.096542295999825,0.049773440696299076,3.8250271013719925,84.2679135965754,22.030670989585794,True,0.000244140625,2.146737720920555e-08,0.9999999420127073,"[2048, 2048]",,,,,,,,,,,,,,,,,,
relu,0,0.5153123289346695,0.04208027385175228,2.034835848324787,24.91846901220525,12.245935726323967,True,0.0,0.0,1.0000000574096364,"[1024, 1024]",,,,,,,,,,,,,,,,,,
relu,1,2.070189733058214,0.04032349679619074,2.0260481119302582,104.01637589119566,51.33953891751222,True,0.0,0.0,1.0000000208028725,"[2048, 2048]",,,,,,,,,,,,,,,,,,
gelu,0,16.637925966642797,0.051195546984672546,0.5041859193759025,163.85425088848976,324.9877566817292,True,4.76837158203125e-07,2.0302824310647338e-08,0.9999999501714504,"[1024, 1024]",,,,,,,,,,,,,,,,,,
gelu,1,65.00992404762655,0.04876633174717426,0.5161432272312436,688.0655320552031,1333.0903046935352,True,4.76837158203125e-07,2.034896873226444e-08,1.0000000467882413,"[2048, 2048]",,,,,,,,,,,,,,,,,,
silu,0,4.818768380209804,0.040296511724591255,1.0880124517982601,130.10753972534283,119.58276719195804,True,4.76837158203125e-07,3.027681216849487e-09,0.9999999921332852,"[1024, 1024]",,,,,,,,,,,,,,,,,,
silu,1,17.970141232945025,0.05936985835433006,1.1670203215516461,353.23513616687734,302.6812212637593,True,4.76837158203125e-07,3.039665408266501e-09,0.9999999940529691,"[2048, 2048]",,,,,,,,,,,,,,,,,,
sum,0,0.480591575615108,0.06766659207642078,2.181844321049386,15.496214126104757,7.102346384938984,True,1.239776611328125e-05,3.273831680417061e-06,0.9999999824118173,"[1024, 1024]",,,,,1,,,,,,,,,,,,,
sum,1,1.0846629040315747,0.07224536966532469,3.86691937597407,58.05637121700718,15.013597536510025,True,2.288818359375e-05,4.72052488476038e-06,1.0000000280031722,"[2048, 2048]",,,,,1,,,,,,,,,,,,,
mean,0,0.2905757399275899,0.0521995360031724,3.6086150903764374,20.087841392618383,5.566634536941676,True,2.2351741790771484e-08,3.1632225727662444e-09,1.0000000454543736,"[1024, 1024]",,,,,1,,,,,,,,,,,,,
mean,1,1.0778520023450255,0.07853440474718809,3.8913542776509904,53.40721704712706,13.724583586197204,True,1.1175870895385742e-08,2.3358381895377534e-09,1.0000000041347172,"[2048, 2048]",,,,,1,,,,,,,,,,,,,
max,0,0.12436376418918373,0.06954588461667299,8.431523497510842,15.077470159156096,1.7882260736873083,True,0.0,0.0,0.9999999771742893,"[1024, 1024]",,,,,1,,,,,,,,,,,,,
max,1,0.47698637936264277,0.08428643923252821,8.793341238809585,49.76250080311039,5.65911175873428,True,0.0,0.0,1.0000000111532628,"[2048, 2048]",,,,,1,,,,,,,,,,,,,
transpose_contiguous,0,3.400841122493148,0.08648480288684368,0.6166568576607259,24.248792042041234,39.3229909645836,True,0.0,0.0,1.0000000434822454,"[1024, 1024]",,,,,,,,,,,,,,,,,,
transpose_contiguous,1,8.355563855729997,0.0852824654430151,0.5019773736901874,49.18131738115137,97.97516772440288,True,0.0,0.0,1.0000000056056093,"[2048, 1024]",,,,,,,,,,,,,,,,,,
conv2d,0,4.907019808888435,0.05950245540589094,0.09015003346811587,7.434449502670509,82.46751794384983,True,0.0036716461181640625,0.0005569758941419423,1.0000000835915037,,1,,3,,,3,32,32,8,,,,,,,,,
conv2d,1,21.322377189062536,0.06586886011064053,1.7703812133744392,2292.357021912516,323.70952151361274,True,0.009488105773925781,0.0013855918077751994,0.9999999069689232,,4,,3,,,16,64,64,32,,,,,,,,,
maxpool2d,0,4.298609797842801,0.09803285356611013,0.07622929630980738,3.3425529103773703,43.848665436877845,True,0.0,0.0,1.0000000669504205,,4,,2,,,,64,64,,16,,,,,,,,
maxpool2d,1,4.056085995398462,0.16071470454335213,1.2925958685165773,32.6222794292339,25.237802644899546,True,0.0,0.0,1.0000000249698782,,8,,2,,,,128,128,,32,,,,,,,,
avgpool2d,0,4.630474629811943,0.18937727436423302,0.07076596379350167,1.7303026516780817,24.451057527135283,True,0.0,0.0,1.0000000312244628,,4,,2,,,,64,64,,16,,,,,,,,
avgpool2d,1,4.029286932200193,0.20831110887229443,1.3011930121186785,25.1685089114194,19.342640697430863,True,0.0,0.0,1.000000053739417,,8,,2,,,,128,128,,32,,,,,,,,
embedding,0,0.651078624650836,0.05646862555295229,1.6105213107899774,18.56917872061043,11.529918043432817,True,0.0,0.0,1.0000000578394386,,32,,,,,,,,,,8192,256,128,,,,,
embedding,1,1.9468166632577777,0.06126293446868658,2.1544422128487977,68.46397477325938,31.778051119194384,True,0.0,0.0,0.9999999772705562,,32,,,,,,,,,,16384,512,256,,,,,
where_mask,0,0.9313017828390002,0.044317240826785564,3.3777751293576346,70.98203636582686,21.01443513776058,True,0.0,0.0,1.0000000262791597,"[1024, 1024]",,,,,,,,,,,,,,0.5,,,,
where_mask,1,3.770124423317611,0.07295950781553984,3.3375322899628244,172.4643213303028,51.67420307781465,True,0.0,0.0,1.0000000580616508,"[2048, 2048]",,,,,,,,,,,,,,0.25,,,,
sdpa,0,1.953409914858639,0.10543153621256351,17.17736341193303,318.2580203739985,18.527757301385744,True,6.556510925292969e-07,3.824722227818711e-08,0.9999999190504425,,2,,,,,,,,,,,,128,,4,64,,
sdpa,1,18.995949462987483,0.1476079924032092,28.262388939603262,3637.139854415686,128.69187605436522,True,1.0728836059570312e-06,3.320707975262849e-08,0.9999998975659028,,4,,,,,,,,,,,,256,,8,64,,
softmax,0,0.6164012709632516,0.06378160323947668,1.0632035183442559,10.275063132849796,9.664248618036291,True,9.313225746154785e-10,9.593079802749926e-12,1.0000000216393397,,32,,,,,,,,,,,,,,,,4096,
softmax,1,2.2973936051130295,0.051147909834980965,1.1410495764268602,51.25214321479761,44.91666643906143,True,4.656612873077393e-10,5.699788731272637e-12,1.0000000107015503,,64,,,,,,,,,,,,,,,,8192,
layernorm,0,3.580559161491692,0.09059531148523092,3.5142309992604197,138.89142598788126,39.522565823678455,True,9.5367431640625e-07,3.5365850692414824e-08,1.0000000720665216,,16,,,,,,,,,,,,128,,,,,768
layernorm,1,18.97790259681642,0.16348869539797306,3.5361581005931417,410.4801487138909,116.08082473604294,True,9.5367431640625e-07,3.1850653670062457e-08,1.0000000353521503,,32,,,,,,,,,,,,256,,,,,1024
rmsnorm,0,1.6241937642917037,0.11010987218469381,5.810380637753201,85.7069744315973,14.750664332507327,True,7.152557373046875e-07,2.618752859007145e-08,0.9999999191880259,,16,,,,,,,,,,,,128,,,,,768
rmsnorm,1,8.022239385172725,0.12442583683878183,6.274014721254336,404.5112275613188,64.4740641412532,True,9.5367431640625e-07,1.935518589846197e-08,0.9999999337175637,,32,,,,,,,,,,,,256,,,,,1024
